,IRMS_C.2,IRMS_C.1.1,IRMS_C.1,I2,IRMS_B.1,IRMS_B.2,I1,IRMS_B.3,I3,V1,V2,V3,P1,P2,P3,Q1,Q2,Q3,TIMESTAMP,LOG(I1),LOG(I2),LOG(I3),I1_diff(2),I2_diff(2),I3_diff(2)
69,137.359,137.359,137.359,169.134695333,154.195589848,171.11136624,0.919,0.8390000000000001,0.8959999999999999,241.431,242.904,244.416,143.899,133.661,137.359,169.134695333,154.195589848,171.11136624,01-09-2020 00:01:09,-0.08446915662644996,5.130695411280967,-0.10981486600720669,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
70,138.144,138.144,138.144,168.694822808,153.409767307,170.28882222200002,0.92,0.8390000000000001,0.897,241.219,242.691,244.194,144.67600000000002,134.412,138.144,168.694822808,153.409767307,170.28882222200002,01-09-2020 00:01:10,-0.08338160893905101,5.1280913003317545,-0.10869941692334091,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
71,138.144,138.144,138.144,168.694822808,153.409767307,170.28882222200002,0.92,0.8390000000000001,0.897,241.219,242.691,244.194,144.67600000000002,134.412,138.144,168.694822808,153.409767307,170.28882222200002,01-09-2020 00:01:11,-0.08338160893905101,5.1280913003317545,-0.10869941692334091,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
72,135.295,135.295,135.295,169.852844929,154.227869855,171.214035261,0.915,0.833,0.8909999999999999,241.36900000000003,242.833,244.337,141.85,131.566,135.295,169.852844929,154.227869855,171.214035261,01-09-2020 00:01:12,-0.0888312137066157,5.1349324441218975,-0.11541085151132785,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
73,135.295,135.295,135.295,169.852844929,154.227869855,171.214035261,0.915,0.833,0.8909999999999999,241.36900000000003,242.833,244.337,141.85,131.566,135.295,169.852844929,154.227869855,171.214035261,01-09-2020 00:01:13,-0.0888312137066157,5.1349324441218975,-0.11541085151132785,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
74,134.793,134.793,134.793,169.61515929200002,153.968884772,171.026182713,0.914,0.8320000000000001,0.89,241.303,242.762,244.27,141.27700000000002,130.996,134.793,169.61515929200002,153.968884772,171.026182713,01-09-2020 00:01:14,-0.08992470752798701,5.13353210198134,-0.11653381625595151,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
75,142.134,142.134,142.134,168.831007402,153.234265617,170.192909843,0.93,0.848,0.906,241.307,242.748,244.281,148.321,137.924,142.134,168.831007402,153.234265617,170.192909843,01-09-2020 00:01:15,-0.07257069283483537,5.128898258432148,-0.0987159729391577,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
76,142.134,142.134,142.134,168.831007402,153.234265617,170.192909843,0.93,0.848,0.906,241.307,242.748,244.281,148.321,137.924,142.134,168.831007402,153.234265617,170.192909843,01-09-2020 00:01:16,-0.07257069283483537,5.128898258432148,-0.0987159729391577,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
77,140.852,140.852,140.852,169.370184437,153.671162994,170.451661109,0.928,0.846,0.904,241.382,242.827,244.35,147.208,136.83100000000002,140.852,169.370184437,153.671162994,170.451661109,01-09-2020 00:01:17,-0.07472354619593642,5.1320867598615205,-0.10092591858996053,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
78,140.79399999999998,140.79399999999998,140.79399999999998,169.168838163,153.444302305,170.381472568,0.927,0.845,0.904,241.413,242.847,244.383,147.033,136.629,140.79399999999998,169.168838163,153.444302305,170.381472568,01-09-2020 00:01:18,-0.07580171341628185,5.130897258596973,-0.10092591858996053,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
79,140.32,140.32,140.32,169.394689781,153.865562365,170.70693369999998,0.927,0.845,0.902,241.39,242.803,244.348,146.836,136.268,140.32,169.394689781,153.865562365,170.70693369999998,01-09-2020 00:01:19,-0.07580171341628185,5.1322314345070215,-0.10314075891951337,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
80,139.653,139.653,139.653,169.409666521,154.328610096,171.24471530600002,0.926,0.846,0.902,241.532,242.947,244.454,146.457,135.945,139.653,169.409666521,154.328610096,171.24471530600002,01-09-2020 00:01:20,-0.07688104433595762,5.1323198438779825,-0.10314075891951337,0 days 00:00:02,0 days 00:00:02,0 days 00:00:02
